Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (-87.9 -42.4 272.3)",1,0,99,"(-87.9, -42.4, 272.3)"
Spawn Point Wander,"Spawn Point (-595.2 -45.1 159.2)",1,0,99,"(-595.2, -45.1, 159.2)"
Spawn Point Wander,"Spawn Point (374.7 -59.7 314.7)",1,0,99,"(374.7, -59.7, 314.7)"
Spawn Point Wander,"Spawn Point (-146.1 -3.6 -82.6)",1,0,99,"(-146.1, -3.6, -82.6)"
Spawn Point Wander,"Spawn Point (350.5 -63.7 332.8)",1,0,99,"(350.5, -63.7, 332.8)"
Spawn Point Wander,"Spawn Point (-139.9 -21.9 5.1)",1,0,99,"(-139.9, -21.9, 5.1)"
Spawn Point Wander,"Spawn Point (443.6 -53.7 -75.6)",1,0,99,"(443.6, -53.7, -75.6)"
Spawn Point Wander,"Spawn Point (315.7 -54.6 -142.1)",1,0,99,"(315.7, -54.6, -142.1)"
Spawn Point Wander,"Spawn Point (-234.6 -5.2 -174.9)",1,0,99,"(-234.6, -5.2, -174.9)"
Spawn Point Wander,"Spawn Point (-604.6 -29.8 -176.9)",1,0,99,"(-604.6, -29.8, -176.9)"
Spawn Point Wander,"Spawn Point (-874.0 -44.6 6.8)",1,0,99,"(-874.0, -44.6, 6.8)"
Spawn Point Wander,"Spawn Point (-815.6 -41.2 3.9)",1,0,99,"(-815.6, -41.2, 3.9)"
Spawn Point Wander,"Spawn Point (199.7 -64.4 436.8)",1,0,99,"(199.7, -64.4, 436.8)"
Spawn Point Wander,"Spawn Point (442.0 -54.3 101.8)",1,0,99,"(442.0, -54.3, 101.8)"
Spawn Point Wander,"Spawn Point (267.4 -56.2 187.1)",1,0,99,"(267.4, -56.2, 187.1)"
Spawn Point Wander,"Spawn Point (-778.6 -40.3 3.0)",1,0,99,"(-778.6, -40.3, 3.0)"
Spawn Point Wander,"Spawn Point (-621.8 -59.6 496.8)",1,0,99,"(-621.8, -59.6, 496.8)"
Spawn Point Wander,"Spawn Point (280.8 -56.2 175.3)",1,0,99,"(280.8, -56.2, 175.3)"
Spawn Point Wander,"Spawn Point (203.8 -64.6 441.4)",1,0,99,"(203.8, -64.6, 441.4)"
Spawn Point Wander,"Spawn Point (-638.3 -59.2 423.5)",1,0,99,"(-638.3, -59.2, 423.5)"
Spawn Point Wander,"Spawn Point (357.6 -59.6 328.9)",1,0,99,"(357.6, -59.6, 328.9)"
Spawn Point Wander,"Spawn Point (405.0 -54.3 85.5)",1,0,99,"(405.0, -54.3, 85.5)"
Spawn Point Wander,"Spawn Point (446.6 -48.1 235.1)",1,0,99,"(446.6, -48.1, 235.1)"
Spawn Point Wander,"Spawn Point (-215.6 -55.8 407.6)",1,0,99,"(-215.6, -55.8, 407.6)"
Spawn Point Wander,"Spawn Point (-837.7 -55.5 278.3)",1,0,99,"(-837.7, -55.5, 278.3)"
Spawn Point Wander,"Spawn Point (-323.5 -62.0 498.5)",1,0,99,"(-323.5, -62.0, 498.5)"
Spawn Point Wander,"Spawn Point (-134.8 -10.7 -351.5)",1,0,99,"(-134.8, -10.7, -351.5)"
Spawn Point Wander,"Spawn Point (-232.7 -29.8 193.0)",1,0,99,"(-232.7, -29.8, 193.0)"
Spawn Point Wander,"Spawn Point (-218.9 -55.6 379.0)",1,0,99,"(-218.9, -55.6, 379.0)"
Spawn Point Wander,"Spawn Point (420.2 -47.6 243.5)",1,0,99,"(420.2, -47.6, 243.5)"
Spawn Point Wander,"Spawn Point (342.0 -42.2 -267.9)",1,0,99,"(342.0, -42.2, -267.9)"
Spawn Point Wander,"Spawn Point (387.9 -60.3 263.9)",1,0,99,"(387.9, -60.3, 263.9)"
Spawn Point Wander,"Spawn Point (-100.1 -22.3 10.7)",1,0,99,"(-100.1, -22.3, 10.7)"
Spawn Point Wander,"Spawn Point (407.2 -54.3 90.1)",1,0,99,"(407.2, -54.3, 90.1)"
Spawn Point Wander,"Spawn Point (-598.6 -44.6 152.1)",1,0,99,"(-598.6, -44.6, 152.1)"
Spawn Point Wander,"Spawn Point (-781.8 -40.2 4.5)",1,0,99,"(-781.8, -40.2, 4.5)"
Spawn Point Wander,"Spawn Point (160.6 -48.3 62.1)",1,0,99,"(160.6, -48.3, 62.1)"
Spawn Point Wander,"Spawn Point (-292.6 -62.0 493.7)",1,0,99,"(-292.6, -62.0, 493.7)"
Spawn Point Wander,"Spawn Point (-171.0 -5.1 -129.3)",1,0,99,"(-171.0, -5.1, -129.3)"
Spawn Point Wander,"Spawn Point (316.1 -54.6 -144.1)",1,0,99,"(316.1, -54.6, -144.1)"
Spawn Point Wander,"Spawn Point (315.9 -54.6 -140.3)",1,0,99,"(315.9, -54.6, -140.3)"
Spawn Point Wander,"Spawn Point (341.5 -56.3 120.6)",1,0,99,"(341.5, -56.3, 120.6)"
Spawn Point Wander,"Spawn Point (79.0 -48.4 91.6)",1,0,99,"(79.0, -48.4, 91.6)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(316.0, -54.6, -138.4)"
Boss Hunter,"Spawn Point (162.6 -35.0 -296.3)",1,15,99,"(162.6, -35.0, -296.3)"
Boss Hunter,"Spawn Point (-197.6 -5.1 -169.9)",1,15,99,"(-197.6, -5.1, -169.9)"
Boss Hunter,"Spawn Point (181.4 -37.2 -268.6)",1,15,99,"(181.4, -37.2, -268.6)"
Boss Hunter,"Spawn Point (-131.7 -5.1 -103.8)",1,15,99,"(-131.7, -5.1, -103.8)"
Boss Hunter,"Spawn Point (-195.0 -5.2 -113.7)",1,15,99,"(-195.0, -5.2, -113.7)"
Boss Hunter,"Spawn Point (143.3 -33.5 -288.2)",1,15,99,"(143.3, -33.5, -288.2)"
Boss Hunter,"Spawn Point (-96.8 -41.0 211.6)",1,15,99,"(-96.8, -41.0, 211.6)"
Boss Hunter,"Spawn Point (-153.3 -4.9 -269.4)",1,15,99,"(-153.3, -4.9, -269.4)"
Boss Hunter,"Spawn Point (-220.9 -29.8 189.5)",1,15,99,"(-220.9, -29.8, 189.5)"
Boss Hunter,"Spawn Point (-156.3 -3.6 -82.5)",1,15,99,"(-156.3, -3.6, -82.5)"
Boss Hunter,"Spawn Point (-451.6 -26.0 286.0)",1,15,99,"(-451.6, -26.0, 286.0)"
Boss Hunter,"Spawn Point (-443.9 -26.0 259.9)",1,15,99,"(-443.9, -26.0, 259.9)"
Boss Hunter,"Spawn Point (-151.9 -4.9 -268.6)",1,15,99,"(-151.9, -4.9, -268.6)"
Boss Hunter,"Spawn Point (148.2 -37.4 -256.4)",1,15,99,"(148.2, -37.4, -256.4)"
Boss Hunter,"Spawn Point (-443.5 -25.3 248.0)",1,15,99,"(-443.5, -25.3, 248.0)"
Boss Hunter,"Spawn Point (-168.7 -3.6 -84.0)",1,15,99,"(-168.7, -3.6, -84.0)"
Boss Hunter,"Spawn Point (-520.4 -25.7 284.6)",1,15,99,"(-520.4, -25.7, 284.6)"
Boss Hunter,"Spawn Point (-106.0 -40.1 245.0)",1,15,99,"(-106.0, -40.1, 245.0)"
Boss Hunter,"Spawn Point (-87.9 -42.4 272.3)",1,15,99,"(-87.9, -42.4, 272.3)"
Boss Hunter,"Spawn Point (-146.1 -3.6 -82.6)",1,15,99,"(-146.1, -3.6, -82.6)"
Boss Hunter,"Spawn Point (-234.6 -5.2 -174.9)",1,15,99,"(-234.6, -5.2, -174.9)"
Boss Hunter,"Spawn Point (-232.7 -29.8 193.0)",1,15,99,"(-232.7, -29.8, 193.0)"
Boss Hunter,"Spawn Point (-171.0 -5.1 -129.3)",1,15,99,"(-171.0, -5.1, -129.3)"
Chairman's House,"Chairman's House: Objective #1",1,0,99,"(407.2, -53.3, -46.5)"
Church,"Church: Objective #1",1,0,99,"(259.8, -54.1, -105.4)"
Priest's House,"Priest's House: Objective #1",1,0,99,"(287.6, -50.6, -43.3)"
Village,"Village: Objective #1",1,0,99,"(425.6, -54.2, 66.6)"
Village,"Village: Objective #2",1,0,99,"(434.8, -54.3, 79.4)"
Village,"Village: Objective #3",1,0,99,"(407.2, -54.2, 99.1)"
Village,"Village: Objective #4",2,0,99,"(414.0, -54.1, 159.7)"
Village,"Village: Objective #5",3,0,99,"(401.8, -54.1, 134.7)"
Village,"Village: Objective #6",1,0,99,"(448.2, -54.0, 149.9)"
Village,"Village: Objective #7",1,0,99,"(451.7, -54.5, 178.4)"
Cabins,"Cabins: Objective #1",1,0,99,"(348.9, -56.3, 152.2)"
Cabins,"Cabins: Objective #2",1,0,99,"(305.0, -56.3, 128.1)"
Cabins,"Cabins: Objective #3",2,0,99,"(313.0, -56.1, 156.5)"
Cabins,"Cabins: Objective #4",1,0,99,"(315.9, -56.3, 135.1)"
Cabins,"Cabins: Objective #5",1,0,99,"(299.3, -56.2, 116.0)"
Cabins,"Cabins: Objective #6",1,0,99,"(266.1, -56.2, 181.4)"
Cabins,"Cabins: Objective #7",1,0,99,"(323.2, -55.7, 133.8)"
West Cottage,"West Cottage: Objective #1",3,0,99,"(134.7, -45.4, 122.7)"
Cottage Garage,"Cottage Garage: Objective #1",1,0,99,"(124.0, -48.4, 130.7)"
Sanitar's House,"Sanitar's House: Objective #1",3,15,99,"(94.2, -45.4, 105.6)"
Scav Island Sniping,"Scav Island Sniping: Objective #1",2,0,99,"(232.5, -54.7, 280.6)"
Scav Island Sniping,"Scav Island Sniping: Objective #2",2,0,99,"(208.0, -54.4, 284.8)"
Scav Island Sniping,"Scav Island Sniping: Objective #3",2,0,99,"(140.1, -51.9, 289.4)"
Gas Station Sniping,"Gas Station Sniping: Objective #1",2,0,99,"(-108.2, -45.1, 367.4)"
Gas Station Sniping,"Gas Station Sniping: Objective #2",2,0,99,"(-122.2, -44.7, 354.2)"
Gas Station Sniping,"Gas Station Sniping: Objective #3",2,0,99,"(-138.0, -44.7, 335.0)"
Sniper Rock Sniping,"Sniper Rock Sniping: Objective #1",2,0,99,"(-256.0, -1.7, -289.7)"
Sniper Rock Sniping,"Sniper Rock Sniping: Objective #2",2,0,99,"(-251.4, -0.9, -274.3)"
Lookout,"Lookout: Objective #1",1,0,99,"(-195.2, -11.3, -243.2)"
Radio Tower,"Radio Tower: Objective #1",2,0,99,"(-705.1, -28.8, 107.2)"
Weather Station,"Weather Station: Objective #1",2,0,99,"(-515.2, -25.5, 238.4)"
Weather Station,"Weather Station: Objective #2",3,0,99,"(-514.6, -22.2, 237.8)"
Weather Station Tower Base,"Weather Station Tower Base: Objective #1",1,0,99,"(-509.7, -25.7, 269.4)"
Weather Station Tower Base,"Weather Station Tower Base: Objective #2",1,0,99,"(-519.2, -25.7, 277.3)"
Weather Station Shack,"Weather Station Shack: Objective #1",1,0,99,"(-464.6, -25.3, 272.6)"
Weather Station Sniping,"Weather Station Sniping: Objective #1",8,0,99,"(-507.5, -18.4, 233.9)"
Weather Station Tower Sniping,"Weather Station Tower Sniping: Objective #1",8,0,99,"(-506.6, -9.9, 258.6)"
Crane Sniping,"Crane Sniping: Objective #1",2,0,99,"(-720.9, -49.0, 427.0)"
Crane Sniping,"Crane Sniping: Objective #2",2,0,99,"(-678.0, -52.9, 428.2)"
Crane Sniping,"Crane Sniping: Objective #3",2,0,99,"(-558.5, -50.6, 393.1)"
Crane Sniping,"Crane Sniping: Objective #4",2,0,99,"(-468.5, -53.9, 432.4)"
Crane,"Crane: Objective #1",1,0,99,"(-641.1, -59.6, 471.8)"
Crane,"Crane: Objective #2",1,0,99,"(-577.0, -59.6, 469.0)"
Pier Sniping,"Pier Sniping: Objective #1",2,0,99,"(-353.0, -52.7, 428.3)"
Pier Sniping,"Pier Sniping: Objective #2",2,0,99,"(-311.0, -54.2, 416.6)"
Pier,"Pier: Objective #1",1,0,99,"(-313.5, -61.6, 486.1)"
Pier,"Pier: Objective #2",1,0,99,"(-312.9, -57.6, 479.4)"
Pier,"Pier: Objective #3",1,0,99,"(-324.3, -57.6, 487.9)"
Lighthouse,"Lighthouse: Objective #1",1,0,99,"(-459.3, -60.0, 565.8)"
Gas Station Sniping 2,"Gas Station Sniping 2: Objective #1",2,0,99,"(-286.0, -48.5, 361.9)"
Gas Station Sniping 2,"Gas Station Sniping 2: Objective #2",2,0,99,"(-266.2, -51.0, 343.4)"
Tank on Bridge,"Tank on Bridge: Objective #1",1,0,99,"(-353.6, -43.4, 188.2)"
Power Station Sniping,"Power Station Sniping: Objective #1",2,0,99,"(-278.6, -34.3, 160.9)"
Power Station Sniping,"Power Station Sniping: Objective #2",2,0,99,"(-278.1, -34.4, 177.5)"
Power Station Sniping,"Power Station Sniping: Objective #3",2,0,99,"(-280.4, -33.8, 200.5)"
Lighthouse Extract Sniper Area,"Lighthouse Extract Sniper Area: Objective #1",1,0,99,"(192.0, -40.7, -270.1)"
Lighthouse Extract Sniper Area Sniping,"Lighthouse Extract Sniper Area Sniping: Objective #1",2,0,99,"(95.2, -30.4, -236.9)"
Lighthouse Extract Sniper Area Sniping,"Lighthouse Extract Sniper Area Sniping: Objective #2",2,0,99,"(114.0, -32.3, -267.1)"
Bus Terminal,"Bus Terminal: Objective #1",1,0,99,"(-144.2, -21.9, 10.2)"
Bus Terminal,"Bus Terminal: Objective #2",3,0,99,"(-128.7, -21.6, -19.7)"
Bus Terminal,"Bus Terminal: Objective #3",2,0,99,"(-124.5, -21.6, -20.3)"
Power Station Sniping 2,"Power Station Sniping 2: Objective #1",2,0,99,"(-161.7, -32.1, 113.2)"
Resort Sniping,"Resort Sniping: Objective #1",4,0,99,"(-197.1, -17.7, 21.7)"
Power Station,"Power Station: Objective #1",1,0,99,"(-221.1, -34.7, 189.0)"
Power Station,"Power Station: Objective #2",1,0,99,"(-239.6, -40.6, 188.6)"
Power Station,"Power Station: Objective #3",1,0,99,"(-240.9, -40.6, 201.6)"
Fountain,"Fountain: Objective #1",2,0,99,"(-418.7, -20.5, -239.8)"
Gazebo,"Gazebo: Objective #1",1,0,99,"(-328.8, -15.1, -254.6)"
Helicoperter Shack,"Helicoperter Shack: Objective #1",1,0,99,"(-263.3, -5.0, -33.4)"
Resort West Wing Basement,"Resort West Wing Basement: Objective #1",1,0,99,"(-232.4, -7.0, -91.8)"
Resort West Wing 1st Floor,"Resort West Wing 1st Floor: Objective #1",1,0,99,"(-187.6, -3.7, -88.0)"
Resort West Wing 1st Floor,"Resort West Wing 1st Floor: Objective #2",1,0,99,"(-181.3, -3.7, -76.7)"
Resort West Wing 1st Floor,"Resort West Wing 1st Floor: Objective #3",1,0,99,"(-157.6, -3.7, -89.1)"
Resort West Wing 1st Floor,"Resort West Wing 1st Floor: Objective #4",1,0,99,"(-143.5, -3.7, -75.1)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #1",1,0,99,"(-166.1, -0.8, -77.1)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #2",1,0,99,"(-172.8, -0.8, -76.4)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #3",1,0,99,"(-179.8, -0.8, -76.2)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #4",1,0,99,"(-171.0, -0.8, -89.5)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #5",1,0,99,"(-165.1, -0.8, -88.9)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #6",1,0,99,"(-229.6, -0.8, -88.5)"
Resort West Wing 2nd Floor,"Resort West Wing 2nd Floor: Objective #7",1,0,99,"(-221.9, -0.8, -88.4)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #1",1,0,99,"(-159.3, 2.1, -77.5)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #2",1,0,99,"(-165.3, 2.1, -87.7)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #3",1,0,99,"(-196.0, 2.1, -76.0)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #4",1,0,99,"(-216.6, 2.1, -88.1)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #5",1,0,99,"(-223.3, 2.1, -101.6)"
Resort West Wing 3rd Floor,"Resort West Wing 3rd Floor: Objective #6",1,0,99,"(-227.4, 2.1, -102.1)"
Resort Main Basement,"Resort Main Basement: Objective #1",1,0,99,"(-255.0, -7.1, -144.9)"
Resort Main 1st Floor,"Resort Main 1st Floor: Objective #1",1,0,99,"(-252.7, -1.3, -149.6)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #1",1,0,99,"(-267.6, -0.8, -147.0)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #2",1,0,99,"(-263.9, -0.7, -150.0)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #3",1,0,99,"(-272.7, -0.8, -132.3)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #4",1,0,99,"(-249.3, -0.8, -128.4)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #5",1,0,99,"(-242.1, -0.8, -152.1)"
Resort Main 2nd Floor,"Resort Main 2nd Floor: Objective #6",1,0,99,"(-237.9, -0.8, -134.6)"
Resort East Wing 1st Floor,"Resort East Wing 1st Floor: Objective #1",1,0,99,"(-323.1, -3.7, -76.7)"
Resort East Wing 1st Floor,"Resort East Wing 1st Floor: Objective #2",1,0,99,"(-326.9, -3.7, -78.0)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #1",1,0,99,"(-286.6, -0.8, -88.4)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #2",1,0,99,"(-295.8, -0.8, -96.8)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #3",1,0,99,"(-307.1, -0.8, -89.0)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #4",1,0,99,"(-313.1, -0.8, -88.5)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #5",1,0,99,"(-331.3, -0.8, -76.3)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #6",1,0,99,"(-342.8, -0.8, -88.1)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #7",1,0,99,"(-338.8, -0.8, -88.4)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #8",1,0,99,"(-345.1, -0.8, -89.1)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #9",1,0,99,"(-351.1, -0.8, -88.5)"
Resort East Wing 2nd Floor,"Resort East Wing 2nd Floor: Objective #10",1,0,99,"(-355.2, -0.8, -88.2)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #1",1,0,99,"(-361.3, 2.1, -75.4)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #2",1,0,99,"(-356.6, 2.1, -75.6)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #3",1,0,99,"(-342.9, 2.1, -89.7)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #4",1,0,99,"(-324.2, 2.1, -76.7)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #5",1,0,99,"(-318.4, 2.1, -88.7)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #6",1,0,99,"(-313.0, 2.1, -87.7)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #7",1,0,99,"(-302.5, 2.1, -76.1)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #8",1,0,99,"(-293.9, 2.1, -88.1)"
Resort East Wing 3rd Floor,"Resort East Wing 3rd Floor: Objective #9",1,0,99,"(-286.6, 2.1, -89.1)"
Tunnel Camping,"Tunnel Camping: Objective #1",2,0,99,"(391.3, -49.1, 281.8)"
Smuggler's Base Perimeter,"Smuggler's Base Perimeter: Objective #1",2,0,99,"(-659.9, -26.9, -150.5)"
Smuggler's Base Perimeter,"Smuggler's Base Perimeter: Objective #2",2,0,99,"(-652.4, -26.9, -151.8)"
Smuggler's Base Perimeter,"Smuggler's Base Perimeter: Objective #3",2,0,99,"(-619.2, -29.9, -159.9)"
Smuggler's Base Perimeter,"Smuggler's Base Perimeter: Objective #4",2,0,99,"(-591.3, -29.9, -176.1)"
Smuggler's Base Perimeter,"Smuggler's Base Perimeter: Objective #5",2,0,99,"(-613.8, -24.3, -214.0)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #1",1,0,99,"(-659.6, -26.9, -160.4)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #2",1,0,99,"(-637.1, -29.9, -178.8)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #3",1,0,99,"(-622.1, -29.9, -177.4)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #4",1,0,99,"(-613.2, -29.9, -178.6)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #5",1,0,99,"(-605.9, -29.9, -176.4)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #6",1,0,99,"(-597.1, -29.9, -179.3)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #7",1,0,99,"(-596.0, -29.9, -175.1)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #8",1,0,99,"(-598.2, -29.9, -185.2)"
Smuggler's Base Lower,"Smuggler's Base Lower: Objective #9",1,0,99,"(-638.3, -29.9, -194.4)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #1",1,0,99,"(-634.7, -26.7, -223.5)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #2",1,0,99,"(-613.3, -26.7, -213.1)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #3",1,0,99,"(-622.1, -26.8, -231.5)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #4",1,0,99,"(-626.1, -26.9, -232.0)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #5",1,0,99,"(-632.1, -26.9, -246.9)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #6",1,0,99,"(-627.9, -26.9, -249.7)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #7",1,0,99,"(-638.7, -26.9, -243.9)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #8",1,0,99,"(-655.2, -26.9, -217.7)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #9",1,0,99,"(-679.4, -26.8, -244.6)"
Smuggler's Base Upper,"Smuggler's Base Upper: Objective #10",1,0,99,"(-669.2, -26.8, -247.9)"
Smuggler's Base VEX Buildings,"Smuggler's Base VEX Buildings: Objective #1",1,0,99,"(-536.2, -18.5, -337.3)"
Smuggler's Base VEX Buildings,"Smuggler's Base VEX Buildings: Objective #2",1,0,99,"(-519.9, -15.9, -340.4)"
Smuggler's Base VEX Buildings,"Smuggler's Base VEX Buildings: Objective #3",1,0,99,"(-514.2, -18.4, -324.2)"
Smuggler's Base VEX Buildings,"Smuggler's Base VEX Buildings: Objective #4",1,0,99,"(-512.3, -18.6, -341.1)"
